__label__3__13	сломалась газовая горелка						
__label__3__13	прочистка и калибровка, регулировка газа не работает						
__label__3__13	краник подачи газа не нормально работает						
__label__3__14	чистка горелки духового шкафа						
__label__3__14	забился газ в духовке						
__label__3__14	починить газ в духовке						
__label__3__14	духовка газовая не работает забился газ						
__label__3__14	почистить горелку или пробить в духовке						
__label__3__14	у меня забилась горелка газовая духовка духовой шкаф плита газовая						
__label__3__15	подключение газовой колонки к газопроводу без дополнительных работ гофра						
__label__3__15	подключите мне газовую колонку, трубы гофра пластиковая, не нужны допработы						
__label__3__15	мне нужен мастер по подключению газовой колонки дома						
__label__3__15	подключение к газу колонки агв 						
__label__3__15	требуется мастер для подключения колонки к газу						
__label__3__16	Замена газовой колонки без изменения подводки с пуском газа и устройством дымоудаления (гофра)						
__label__3__16	замените мне  газовую колонку срочномне необходим мастер по замене газовой колонки						
__label__3__16	не изменяя подвод газа мне нужно заменить агв и газовую колонку						
__label__3__17	мне нужно заменить газовую колонку с новой проводку						
__label__3__17	замените мне проводку к агв и саму агв тоже замените						
__label__3__17	мне требуется заменить газовую колонку и организовать новую подводку газа к этой новой колонке						
__label__3__18	снятие и установка теплообменника колонки в квартире						
__label__3__18	в моей колонке необходимо снять теплообменник						
__label__3__18	сломался теплообменник газовой колонк необходим мастер по замене теплообменника колонки						
__label__3__19	необходимо произвести чистку горелки газовой колонки						
__label__3__19	прочистите мне горелку для газа в колонке						
__label__3__19	прошу прочистить газовую горелку в АГВ						
__label__3__19	прочистите в газовой горелке газовой колонки 						
__label__3__20	протекает вода в соединении в агв						
__label__3__20	устранение течи воды в резьбовом соединении						
__label__3__20	нужно отремонтировать соединение, чтобы вода не протекала в газовой колонке						
__label__3__20	протекает вода в газовой колонке						
__label__3__21	замена газового котла без сварочных работ						
__label__3__21	необходимо заменить газовый котел, больше ничего не надо						
__label__3__21	нужен мастер по замене котла в газовой колонке						
__label__3__22	заменить газовый кран на опуске						
__label__3__22	замените газовый кран в газовой колонке						
__label__3__22	поломался газовый кран в колонке						
__label__3__23	необходимо проверить нашу газовую колонку						
__label__3__23	требуется диагностика газового оборудование						
__label__3__23	обследование газовые приспособления						
__label__3__23	тестирование протестировать газовые колонки						
__label__3__23	проверка газового оборудования						
__label__3__23	нужен мастер по проверке тестированию диагностике газового оборудования у меня дома						
__label__3__24	техобслуживание ВКГО						
__label__3__24	внутриквартирное газовое оборудование требуется техобслуживание						
