__label__1	Здравствуйте подскажите пожалуйста проживаем в цокольном помещении нежилом но сделан ремонт как в нормальной квартире кухня, кровати, санузел всё есть полноценная квартира. Поднялся уровень грунтовых вод и вода пошла в квартиру затопило. пострадала мебель, электрика, обои, ламинат. УК согласна сделать гидроизоляцию и не более. Могу ли я рассчитывать на компенсацию
__label__0	Здравствуйте. Моя квартира находится на последнем этаже и имеет общую стенку в ванной комнате с вентиляционной шахтой.С приходом холодов, температура в моем помещении стала понижаться, стена холодная, и как выявилось позже,замерзает вода в трубах (они располагаются вблизи стенки) и прекращается подача воды в краны. Известила об этом главного инженера управляющей компании, как звонками, так и заявлениями.Единственный шаг, который они предприняли- измерили температуру моего помещения,утвердившись в ее заниженном параметре. И все, более светлые мысли их не посещали…. Подскажите мои дальнейшие действия влияния на управляющую компанию.
__label__1	УК при чистке крыши дома от наледи повредила (оторвала) телевизионный кабель, который соединялся с антенной. В тот же день позвонил в УК диспетчеру с указанием данной претензии. Через неделю повторно позвонил с указанием № заявки. И опять никаких действий со стороны УК. Какие дальнейшие действия, опять звонить диспетчеру?
__label__4	Доброго времени суток! Во время снегопадов и образования наледи на деревьях, упавшими ветками и наледью была повреждена крыша моего авто. Независимая экспертиза оценки ущерба проведена. В какой форме подаётся заявление в УК? СПАСИБО.
__label__4	Добрый день! Ночью кусок льда сорвался с крыши и разбил внешний блок кондиционера. Данный факт зафиксирован участковым. В какой форме подавать претензию в УК и нужно ли вызывать представителя УК, чтобы он фиксировал повреждения?
__label__0	Добрый день. Что нужно делать и могу ли я написать претензию если у меня в квартире точнее в туалете проржавел общедомовой стояк который требует замены ? Из-за этого соседи постоянно жалуются что я их топлю
__label__0	Как написать претензию  в УК с требованием возврата денежных средств за подогрев горячей воды, если таковая являлась технической. Есть подтверждающий документ Роспотребнадзора.
__label__1	Повреждение автомобиля куском льда при чистке крыши. ЖСК по претензии отказались оплачивать ремонт. Подаем иск в суд. Можно ли кроме ущерба, определенного экспертизой требовать и 50% штрафа за добровольный отказ.
__label__2	Как написать претензию, что за  отопление взимают плату как в морозы – 26 градусов, так и при плюсовой температуре с небольшими колебаниями в 100-200 руб? Т.е. батареи греют одинаково, независимо от температуры окружающей среды.
__label__3	Помогите правильно составить коллективную претензию в управляющую компанию, за январь вывозили мусор один раз вместо 5, платежку прислали как за целый месяц, пусть сделают перерасчет.
__label__3	Здравствуйте! В соседнем с нами многоквартирном доме не оборудован мусоропровод, место сбора мусора не оборудовано, мусор собирает мусоровоз, который подъезжает к дому 1 раз в сутки – вечером. Это приводит к тому, что жители соседнего дома выносят мусор и складируют его возле нашего подъезда (ближайшего к ним), т.к. в нашем доме есть мусоропровод и рядом с подъездом находится мусоросборная камера. Однако, мусоросборная камера закрыта, и наши соседи оставляют мусор прямо возле подъезда. За день гора мусора достигает внушительных размеров, а за выходные… Возле подъезда грязь, вонь, бродячие животные, стали размножаться крысы (крысы перемещаются в лифты, квартиры). Наши дома обслуживает одна и та же УК. В ответ на обращения в УК мы получили ответ, что оборудовать место сбора мусора технологически невозможно, Роспотребнадзор не даёт разрешения. Какие действия нам необходимо предпринять.
__label__5	Лифт остановился
__label__5	Двери лифта открылись, а там чёрная стена
__label__5	Нажимаю на кнопку этажа двери закрываются но лифт не едет 
__label__5	Лифт зажевал рюкзак
__label__5	Настройте лифт так, чтобы всегда возвращался на 1 этаж.
__label__5	Если несколько лифтов в доме ( у нас 3). Мы просили такую настройку , чтобы один всегда возращался 1 другой на 25.
__label__5	Ключи упали в шахту. Помогите!
__label__5	Жители подъезда: слишком шумный лифт! Помогите «заглушить»
__label__5	Лифт не останавливается на моем этаже
__label__5	Лифт часто ломается
__label__5	Лифт часто ломается
__label__5	В лифте плохо пахнет
__label__5	Все лифты встали!
__label__5	Все работают, но ни один не останавливается на моём этаже, а уже опаздываю
__label__5	Лифт не едет вниз. У нас так было.  По кнопке вызова не ехал.  Нужно было ждать когда кто то наверху сядет в него и нажмёт 1 этаж )
__label__5	Прошу заменить музыку в лифте
__label__5	У нас ещё лифт настроили так,что он на лёгких девушек не реагировал и никуда не ехал
__label__5	Ободрали обшивку лифта
__label__5	Не работает вентилятор в лифте
__label__5	Настройте грузоподъёмность лифта, грузовой лифт перегружается от трёх человек
__label__5	После отключения электроэнергии, лифт не вернулся на первый этаж и не открыл двери
__label__5	На полу лифта сквозная дыра, страшно ездить, заделайте, чуть не провалилась чи-хуа-хуа
__label__5	При движении кабины лифта слышен запах дыма, возможно замыкает проводку
__label__5	Сломан поручень в лифте для инвалидов
__label__5	Лифт трясётся
__label__5	Трещит лебёдка и слышен сильный скрежет при движении лифта, необходимо ТО, ремонт
__label__5	Добрый вечер, лифт дрожит
__label__5	Когда еду вниз на первом этаже вибрация лифтов
__label__5	Устраните дребезжание лифта
__label__5	Почините лифт он вибрирует
__label__5	Лифт трясетсяя и вибрирует
__label__5	Меня трясет в лифте
__label__5	Когда еду в лифте он трясется
__label__5	Вибрации в лифте ужасные
__label__5	Грохот в лифте, когда спускаемся, а когда поднимается, то нормально
__label__5	Дребезжит уже несколько дней наш грузовой лифт
__label__5	Лифт не доехал до этажа
__label__5	лифт переезжает этаж
__label__5	уровень этажа не выровнен в лифте
__label__5	В нашем лифте порог высокий
__label__5	Низкий порог в лифте
__label__5	Переподъем кабины лифта грузового у нас в подъезде
__label__5	Лифт проехал этаж и открыл двери
__label__5	Лифт не доехал и открылся
__label__5	В лифте не установлен уровень порога
__label__5	В лифте погас свет и остановилось движение 
__label__5	Не работает лампочка в лифте
__label__5	Темный лифт
__label__5	Когда двери закрываются, то гаснет лампочка
__label__5	В нашем лифте неисправное освещение
__label__5	Слишком яркий свет в кабине!
__label__5	Не хватает освещенности в кабине лифта
__label__5	Замените лампочку в лифте - очень темно
__label__5	Наш лифт очень темный
__label__5	Ничего не вижу в лифте, когда спускаемся или поднимаемся
__label__5	Не могу вызвать лифт
__label__5	Кнопка вызова не работает, помогите
__label__5	Не могу вызвать лифт
__label__5	Не могу нажать на нужную кнопку, т.к. она вдавлена/сожжена
__label__5	Бьет током при нажатии кнопок в кабине
__label__5	Кнопка 5 этажа сломана
__label__5	Не хватает кнопки 
__label__5	Неправильно расставлены кнопки! Я на 15 этаже живу, а едет на 14, когда я нажимаю 13. 
__label__5	Поставьте новые кнопки в лифте, наши сожжены
__label__5	Залепили жвачкой кнопки лифта
__label__5	Кнопки залипли и лифт едет только на 4 этаж
__label__5	Поломались кнопочки в лифте
__label__5	Кнопочка моего этажа выпала
__label__5	Все кнопки отвалились
__label__5	Устраните запах ( вонь ) из шахты
__label__5	Отмойте лифт
__label__5	В лифте написали , не могу туда зайти
__label__5	Нашли бомжа в лифте, к кому обратиться?
__label__5	Лифт изрисован, исписан ненормативной лексикой, прошу закрасить
__label__5	В лифте мусор
__label__5	Очень грязный лифт
__label__5	Уберите грузовой лифт
__label__5	Обрисованы стены в лифте
__label__5	Подметите пол в лифте
__label__5	Испачканы стены в лифте
__label__5	Лифт открыл двери между двумя этажами, что делать?
__label__5	Двери лифта не закрываются полностью при движении кабины
__label__5	Сломан пульт в кабине
__label__5	Двери кабины/лифт не закрываются / не до конца закрываются
__label__5	Приоткрылись двери лифта и движение продолжилось
__label__5	лифт сломался - не работают двери, только приоткрылись и все
__label__5	Заклинило двери в лифте
__label__5	Одна дверь в лифте не открывается
__label__5	Дверь открывается не полностью
__label__5	Дверь чуть-чуть не открывается
__label__5	Дверь открываетсяя чуть-чуть
__label__5	Двери не до конца закрываются
__label__5	Двери лифта не до конца открываются
__label__5	Я в кабине лифта  не доехал до 20 этажа
__label__5	Я застрял в лифте 
__label__5	В лифте погас свет и остановилось движение 
__label__5	Лифтёр скоро придёт на помощь?
__label__5	Моя бабушка застряла в лифте
__label__5	Мой ребенок застрял в лифте, помогите!!
__label__5	Мне страшно помогите я в лифте
__label__5	Вытащите меня из лифта
__label__5	В лифте застряли дети!
__label__5	Пассажир в лифте
__label__5	Человек попал в лифт и он не открывается
__label__5	Не могу выйти из лифта
__label__5	Я в лифте помогите
__label__5	В лифте что то течет с потолка
__label__5	Лифт затопило
__label__5	Я слышу, что в шахте лифта течет вода
__label__5	Вода где-то льется в лифте
__label__5	Когда еду в лифте слышу воду
__label__5	Где-то что-то льется, когда еду в лифте
__label__5	В лифте водопад
__label__5	затопило лифт
__label__5	в лифте вода
__label__5	в шахте лужи воды 
__label__5	По стенам лифта течет вода
__label__5	По стенам шахты льется вода
__label__5	Лифтёр хамит при обращении в диспетчерскую и просьбе вызвать ремонтников
__label__5	не работает связь с диспетчером
__label__5	Не могу вызвать лифтера
__label__5	Не могу вызвать службу спасения
__label__5	В лифте не работает обратная связь
__label__5	Не отвечает диспетчер
__label__0	У меня прорвало трубу в туалете!!
__label__0	Сегодня пришли домой, а все затоплено, скорее всего прорвало трубу у соседей
__label__0	В трубе, которая в туалете в стояке капает на стыке вода. 
__label__0	прорвало трубу я не знаю, что делать
__label__0	У меня течет стояк в ванне
__label__0	из трубы фонтаном бьет вода
__label__0	Прорвало холодную воду! И холодная, и горячая вода текут трубы в туалете
__label__0	У меня течет кран перекрытия воды
__label__0	Вводный кран поломался
__label__0	Сломался кран перекрытия воды
__label__0	не работает вентель перекрытия воды
__label__0	Помогите починить кран перекрытия воды
__label__0	в подвале вода
__label__0	подвал затопило
__label__0	из подвала вытекает вода
__label__0	по стенам в подвале льется вода
__label__0	куда пропала холодная вода
__label__0	у меня нет холодной воды
__label__0	Выше 3 этажа нет воды
__label__0	вода еле течет из холодного крана
__label__0	когда дадут холодную воду?
__label__0	нвторой нет холодной водоы
__label__0	нет холодного водоснабжения
__label__0	у меня сломался кран в ванне
__label__0	мой кран сломался, в ванне не могу открыть воду
__label__0	заклинилок кран в ванне
__label__0	теет вода в ванне из крана
__label__0	регулятор воды в ванне сломался
__label__0	краник поломался холодной воды
__label__0	помогите починить кран в ванне
__label__0	необходимо заменить смеситель в ванне
__label__0	смеситель в ванне течет
__label__0	у меня сломался кран на кухне
__label__0	мой кран сломался, на кухне не могу открыть воду
__label__0	заклинилок кран на кухне
__label__0	теет вода на кухне из крана
__label__0	регулятор воды на кухне сломался
__label__0	краник поломался холодной воды на кухне
__label__0	помогите починить кран на кухне
__label__0	необходимо заменить смеситель на кухне
__label__0	смеситель на кухне течет
__label__0	гибкая подводка прорвало
__label__0	порвалась гибкая подводка
__label__0	Труба под раковиной в ванне течет
__label__0	Под ванной прорвало подводку
__label__0	Мягкая труба холодная течет под ванной
__label__0	под раковиной труба такая мягкая протекает в ванной комнате
__label__0	У меня сорвало гибкую подводку на кухне
__label__0	гибкой подводке капец в кухне
__label__0	прорвало гибкую подводку на кухне
__label__0	мягкая труба под раковиной на кухне протекает
__label__0	сорвало гибкую трубу на кухне
__label__0	Мягкая подводка в туалете течет
__label__0	сорвало мягкую подводку в туалете
__label__0	прорвало мягкую трубу в туалете
__label__0	изгибающуюся трубу в туалете прорвало
__label__0	сорвало подводку под унитазом
__label__0	за унитасом отвалилась трубка
__label__0	бачок унитаза разбился
__label__0	в туалете разбися бачок
__label__0	капает с бачка
__label__0	бачок не держит воду
__label__0	из бачка льется вода все время
__label__0	протекает вода в бачке унитаза
__label__0	в туалете льется вода все время в унитазе
__label__0	в унитазе не держится вода, все время течет
__label__0	холодная вода ржавая
__label__0	вода из холодного крана воняет
__label__0	грязная вода в кране
__label__0	невозможно пить воду из крана холодную
__label__0	из холодного крана течет вонючая вода
__label__0	вода плохого качества из холодного крана
__label__0	дайте нормальную воду
__label__0	вода воняет железом
__label__0	проверили воду оказалось плохая
__label__0	в газовой колонке не хватает напора воды
__label__0	газовая колонка перегреваетсяя из-за маленького напора
__label__0	дайте сильнее напор воды в газовую колонку
__label__0	в газ не подается нужный напор воды
__label__0	в агв не хватает напора воды
__label__0	необходимо исправить напор воды в газовую колонку
__label__0	дайте сильнее воду в колонку обогревательную
__label__0	в подвале нужно сменить ХВС
__label__0	кран холодного водоснабжения сломан
__label__0	почините кран холодной вды в подвале
__label__0	в подвале не работает кран с водой холодной
__label__0	пробко сальниковый кран замените
__label__0	сальниковый кран необходимо заменить в подвале для холодной воды
__label__0	Смена крана воды в подвале
__label__0	смените пробко-сальниковый кран хвс в подвале
__label__0	вода еле течет из крана
__label__0	нет напора холодной воды в кране
__label__0	Напор воды вообще никакой, когда заменить? Дайте больше напора воды
__label__0	в кране холодном нет водного напора
__label__0	нет напора воды в кране ХВС
__label__0	холодное водоснабжение с маленьким напором
__label__0	воды почти нет холодной
__label__0	невозможно помыться, вода еле течет холодная
__label__0	у меня под ванной лужа
__label__0	прорвало что-то под ванной
__label__0	в ванне лужа
__label__0	протекает холодная вода в ванне 
__label__0	под ванной кажется что-то течет
__label__0	у меня сорвало воду под ванной
__label__0	в ванной комнате протечка воды
__label__0	с потолка капает
__label__0	течь воды с потолка в ванне
__label__0	у меня капает вода с потолка
__label__0	меня затопили соседи
__label__0	льется вода с потолка
__label__0	протекает вода с крыши
__label__0	мой потолок капает
__label__0	соседи топят меня!
__label__0	затопление сверху
__label__0	из холодного крана горячая вода
__label__0	в моем кране вместо холодной вода теплая
__label__0	вода другая течет из холодного крана
__label__0	вода не туда течет, у меня горячая вода в кране холодном
__label__0	подмес воды горячей в холодную
__label__0	помогите, у меня теплая вода в холодном кране
__label__0	горячая вода как-то попадает в холодный кран
__label__6	Не работает доводчик входной двери
__label__6	Входная дверь не работает
__label__6	Входная дверь скрипит
__label__6	Входная дверь резко закрывается
__label__6	Входная дверь неисправна
__label__6	Входная дверь сломана
__label__6	Входная дверь повреждена
__label__6	Дверь на лоджию скрипит
__label__6	Дверь на лоджию сломана
__label__6	Дверь на лестнице скрипит
__label__6	Дверь на лестнице сломана
__label__6	Дверь на лестнице повреждена
__label__6	Дверь на лоджии неисправна
__label__6	Дверь на лестнице повреждена
__label__6	Дверь на лоджию испорчена
__label__6	Переходная дверь сломана
__label__6	Переходная дверь скрипит
__label__6	Переходная дверь неисправна
__label__6	Доводчик двери скрипит
__label__6	Доводчик двери неисправен
__label__6	Доводчик двери смазать
__label__6	Доводчик двери в подъезде сломан
__label__6	Дверь в подъезд сломана
__label__6	Дверь в подъезд скрипит
__label__6	Домофон не фуричит
__label__6	Домофон не работает
__label__6	Домофон замерз
__label__6	Домофон сломали
__label__6	Домофон не пускает домой
__label__6	Бомжи разбили домофон
__label__6	Залили домофон
__label__6	Залипают кнопки домофона
__label__6	Повреждены кнопки домофона
__label__6	Домофон испортили краской
__label__6	Выбиты стекла холодно
__label__6	Разбито стекло зимой
__label__6	Замена стекла в подъезде зимой
__label__6	Нет стекол в подъезде зимой
__label__6	Разбиты стекла в подъезде зимой
__label__6	Выбиты стекла летом
__label__6	Нет стекол в подъезде летом
__label__6	Замена стекол в подъезде летом
__label__6	Разбитые стекла летом
__label__6	Треснутое стекло летом
__label__6	Замки в подвал сломаны
__label__6	Замок в подвал сломан
__label__6	Замок на мусорке сломан
__label__6	Замок на мусорке не открывается
__label__6	Замок в подвал заржавел
__label__6	Замок в подвал неисправен
__label__6	Замок на мусорке неисправен
__label__6	Вход в подвал открыт
__label__6	Сломан замок в подвал
__label__6	Не работает мусоропровод
__label__6	Сломан мусоропровод
__label__6	Засорился мусоропровод
__label__6	Починить мусоропровод
__label__6	Крышка мусоропровода сломана
__label__6	Сильный запах из мусоропровода
__label__6	Испорченный мусоропровод
__label__6	Сломана подъемная платформа 
__label__6	Неисправна подъемная платформа
__label__6	Не работает подъемная платформа
__label__6	Инвалид не может включить платформу для подъема
__label__6	Подъемная платформа сломана
__label__6	Не включается подъемная платформа
__label__6	Перед подъездом темно
__label__6	Перед подъездом нет света
__label__6	Нет света перед подъездом
__label__6	Нет света возле подъезда
__label__6	Свет перед подъездом мигает
__label__6	Свет перед подъездом тусклый
__label__6	у подъезда не горит
__label__6	Плохое освещение перед подъездом
__label__6	Слабый свет перед подъездом
__label__6	Заменить пандус
__label__6	Ремонт пандуса
__label__6	Поменять пандус
__label__6	Установить пандус
__label__6	Спроектировать пандус
__label__6	Пандус сломан 
__label__6	Пандус несправен
__label__6	Замена пандуса
__label__6	Нет света в подъезде
__label__6	Свет в подъезде слабый
__label__6	Свет в подъезде слабый
__label__6	Замена лампочек в подъезде
__label__6	Нет лампочек в подъезде
__label__6	Тусклый свет в подъезде
__label__6	Плохой свет в подъезде
__label__6	Замена трубки домофона в квартире
__label__6	Неисправна трубка домофона в квартире
__label__6	Сломалась трубка домофона в квартире
__label__6	Залили трубку домофона
__label__6	Кнопки на трубке домофона не работают
__label__6	Кнопки на трубке домофона неисправны
__label__6	Магнитный замок несправен
__label__6	Магнитный замок замерз
__label__6	Магнитный замок сломан
__label__6	Магнитный замок не работает
__label__6	Размагнитился магнитный ключ
__label__6	Магнитный ключ утерян
__label__6	Магнитный ключ потерял потерялся потерян 
__label__6	Потерял магнитный ключ
__label__6	Магнитный ключ сломался сломан сломал
__label__6	Магнитный ключ испорчен испортился испортили
__label__6	Магнитный ключ неисправен
__label__6	Общедомовое устройство учета неисправно сломано испорчено не функционирует
__label__6	Переговорное устойство сломано сломалось испорчено разбито не работает
__label__6	Зарядное устройство неисправно повреждено не работает испорчено сломано сломал сломали испортил
